anchor,ts,year,fc_ret_4h,real_ret_4h,in_band_4h,fc_ret_16h,real_ret_16h,in_band_16h,fc_ret_24h,real_ret_24h,in_band_24h,fc_ret_48h,real_ret_48h,in_band_48h
512,2020-01-22 07:00:00,2020,0.007317834104915377,-0.009613818011697361,0.0,0.014210038389583346,-0.006934220653736389,1.0,0.015939049925227877,-0.018582103142167128,0.0,0.019304566587825533,-0.0468147580788596,0.0
516,2020-01-22 11:00:00,2020,0.005401729631261176,-0.0004561540748131421,1.0,0.009890674638585395,-0.007090971034585891,1.0,0.010515331315831489,-0.026619663251665315,0.0,0.013758777665929145,-0.028667096753242305,0.0
520,2020-01-22 15:00:00,2020,0.005189358010273537,0.0016481009025692828,1.0,0.010482250466328225,-0.008512131055656624,1.0,0.013117252602558693,-0.034135861997548034,0.0,0.01970523478029307,-0.017263030070322927,1.0
524,2020-01-22 19:00:00,2020,0.003955151761024567,0.0014876505302048315,1.0,0.004692342007606598,-0.027811610079421456,0.0,0.007000233853309723,-0.034291084844161546,0.0,0.008651044095008942,-0.019523596246976638,1.0
528,2020-01-22 23:00:00,2020,0.0050967813211517665,-0.009770568392546863,0.0,0.003145563669784579,-0.03727161343032215,0.0,0.004404413767440829,-0.03217397738878347,0.0,0.005167353220565829,-0.028333378681439925,1.0
532,2020-01-23 03:00:00,2020,0.0027499638494408174,-0.0018773140958838752,1.0,0.0023808918889915986,-0.026008166981819514,0.0,0.0022731266912376924,-0.03191386324552958,0.0,0.004728838055983786,-0.03556397418555157,0.0
536,2020-01-23 07:00:00,2020,0.0016108060825317239,-0.01765137812119555,0.0,0.004601528738781724,-0.02052609490035273,0.0,0.006915142630383286,-0.02823265493669247,0.0,0.012713482474133286,-0.03133751508698701,0.0
540,2020-01-23 11:00:00,2020,-0.0014954909671711647,-0.00797235282069586,1.0,-0.0017320021976399147,-0.01238517102845016,1.0,-0.0008345946659016334,-0.0020474335015769896,1.0,0.002385963500602273,-0.013705369838618253,1.0
544,2020-01-23 15:00:00,2020,-8.346376903389796e-05,0.0014928780559557708,1.0,0.00014732541553641454,-0.00260892399480106,1.0,0.002140504736825477,0.016872831927225107,1.0,0.004435998816415321,-0.003641207212595532,1.0
548,2020-01-23 19:00:00,2020,0.00041969851924861246,0.003604757985582907,1.0,0.0008440835900493937,0.0044320412631631,1.0,0.003115735811729081,0.014767488597184908,1.0,0.003809057039756425,-0.0016590238737972385,1.0
552,2020-01-23 23:00:00,2020,0.0026285391664782054,-0.009510454249292977,1.0,0.004698966107396174,0.01177519588568643,1.0,0.007558081707982112,0.0038405987073435455,1.0,0.01033041294577508,-0.007754493849340349,1.0
556,2020-01-24 03:00:00,2020,0.00016275135034149457,0.0018038942129532387,1.0,0.0016647883986813383,0.020673184860894978,1.0,0.003795296821532901,-0.003650110940021989,1.0,0.007370621833739932,0.004967234674740695,1.0
560,2020-01-24 07:00:00,2020,-0.0006817465003070566,0.008533843313919931,1.0,0.0035525674645366934,0.011547158743683283,1.0,0.003722321492857006,-0.0031048601502945417,1.0,0.006005417806333568,0.004940418537861646,1.0
564,2020-01-24 11:00:00,2020,-0.0027191603708676126,0.010947912608106236,1.0,-0.0009634459543637064,-0.013987848466895159,1.0,-0.0013630354929379251,-0.011657936337041264,1.0,-0.0013487303781918314,0.007719139731452884,1.0
568,2020-01-24 15:00:00,2020,0.0030269959297175575,-0.0006124652740844283,1.0,0.00572207954788162,-0.02258661607232071,0.0,0.00656894234085037,-0.02051403913982064,1.0,0.00746921089553787,-0.005713648002155125,1.0
572,2020-01-24 19:00:00,2020,-0.0001771434104558267,-0.007322131904258455,1.0,0.0011513249122980795,-0.02199338367106307,0.0,0.0032331959450129233,-0.016426512470982146,1.0,0.0052483097755793295,0.007152160894824178,1.0
