horizon,model,oo_s,year,n,hit_rate,corr
4,LogReg,2020-07-01,2020,1488,0.5504032258064516,0.08436555338755622
4,GBoost,2020-07-01,2020,1488,0.5389784946236559,0.12517022777626527
16,LogReg,2020-07-01,2020,1488,0.581989247311828,0.10894654898486278
16,GBoost,2020-07-01,2020,1488,0.5524193548387096,0.11488015433297545
24,LogReg,2020-07-01,2020,1488,0.6115591397849462,0.17888626453775883
24,GBoost,2020-07-01,2020,1488,0.4993279569892473,0.008077820898156831
48,LogReg,2020-07-01,2020,1488,0.5793010752688172,0.06961851096315094
48,GBoost,2020-07-01,2020,1488,0.42473118279569894,-0.08988784973404527
4,LogReg,2020-09-01,2020,1464,0.5389344262295082,0.1387158550769902
4,GBoost,2020-09-01,2020,1464,0.5717213114754098,0.13678189310577551
16,LogReg,2020-09-01,2020,1464,0.5478142076502732,0.11373824069733547
16,GBoost,2020-09-01,2020,1464,0.5771857923497268,0.15458908369811727
24,LogReg,2020-09-01,2020,1464,0.5327868852459017,0.07265267531026215
24,GBoost,2020-09-01,2020,1464,0.5601092896174863,0.12437535182723411
48,LogReg,2020-09-01,2020,1464,0.47540983606557374,-0.033832478862833
48,GBoost,2020-09-01,2020,1464,0.46174863387978143,-0.11474932653351261
4,LogReg,2020-11-01,2020,1464,0.546448087431694,0.04471572187782115
4,GBoost,2020-11-01,2020,1464,0.5396174863387978,0.03600651617820029
16,LogReg,2020-11-01,2020,1464,0.5573770491803278,0.016156598156001924
16,GBoost,2020-11-01,2020,1464,0.5512295081967213,0.026490300026873075
24,LogReg,2020-11-01,2020,1464,0.5771857923497268,-0.008618271456184982
24,GBoost,2020-11-01,2020,1464,0.5703551912568307,-0.014346565127733257
48,LogReg,2020-11-01,2020,1464,0.6277322404371585,0.0005743470693758434
48,GBoost,2020-11-01,2020,1464,0.605191256830601,0.06912311228068925
4,LogReg,2021-01-01,2021,1416,0.5388418079096046,0.11894597270469853
4,GBoost,2021-01-01,2021,1416,0.5416666666666666,0.06046464436379798
16,LogReg,2021-01-01,2021,1416,0.5494350282485876,0.15308063039237457
16,GBoost,2021-01-01,2021,1416,0.5543785310734464,0.06602070600630357
24,LogReg,2021-01-01,2021,1416,0.5769774011299436,0.1535097386893702
24,GBoost,2021-01-01,2021,1416,0.5572033898305084,0.12608390838410363
48,LogReg,2021-01-01,2021,1416,0.6101694915254238,0.09109272753485916
48,GBoost,2021-01-01,2021,1416,0.5988700564971752,0.1767026492318954
4,LogReg,2021-03-01,2021,1464,0.5211748633879781,0.0704249835437592
4,GBoost,2021-03-01,2021,1464,0.5245901639344263,0.05849309649799256
