horizon,model,oo_s,year,n,hit_rate,corr
1,LogReg,2020-07-01,2020,1488,0.5477150537634409,0.07891712935466005
1,GBoost,2020-07-01,2020,1488,0.5483870967741935,0.10217642577243359
1,RandForest,2020-07-01,2020,1488,0.5564516129032258,0.12737152522821832
2,LogReg,2020-07-01,2020,1488,0.5100806451612904,0.04192891266398478
2,GBoost,2020-07-01,2020,1488,0.5349462365591398,0.10524789508889364
2,RandForest,2020-07-01,2020,1488,0.5336021505376344,0.10277533971470502
4,LogReg,2020-07-01,2020,1488,0.5504032258064516,0.08436555338755622
4,GBoost,2020-07-01,2020,1488,0.5389784946236559,0.12517022777626527
4,RandForest,2020-07-01,2020,1488,0.5356182795698925,0.11445889552501796
8,LogReg,2020-07-01,2020,1488,0.5396505376344086,0.07303433914502967
8,GBoost,2020-07-01,2020,1488,0.5147849462365591,0.042290346918468114
8,RandForest,2020-07-01,2020,1488,0.5329301075268817,0.10218084292344445
16,LogReg,2020-07-01,2020,1488,0.581989247311828,0.10894654898486278
16,GBoost,2020-07-01,2020,1488,0.5524193548387096,0.11488015433297545
16,RandForest,2020-07-01,2020,1488,0.573252688172043,0.17679442754553418
24,LogReg,2020-07-01,2020,1488,0.6115591397849462,0.17888626453775883
24,GBoost,2020-07-01,2020,1488,0.4993279569892473,0.008077820898156831
24,RandForest,2020-07-01,2020,1488,0.603494623655914,0.20317427894206827
48,LogReg,2020-07-01,2020,1488,0.5793010752688172,0.06961851096315094
48,GBoost,2020-07-01,2020,1488,0.42473118279569894,-0.08988784973404527
48,RandForest,2020-07-01,2020,1488,0.46908602150537637,-0.07125829199303949
72,LogReg,2020-07-01,2020,1488,0.5309139784946236,0.08069867685314641
72,GBoost,2020-07-01,2020,1488,0.4852150537634409,0.03654226084858427
72,RandForest,2020-07-01,2020,1488,0.49260752688172044,0.09549313783411366
1,LogReg,2020-09-01,2020,1464,0.5095628415300546,0.06781412282442005
1,GBoost,2020-09-01,2020,1464,0.5341530054644809,0.08064921305041617
1,RandForest,2020-09-01,2020,1464,0.546448087431694,0.09096250600122036
2,LogReg,2020-09-01,2020,1464,0.5355191256830601,0.10951261307520554
2,GBoost,2020-09-01,2020,1464,0.5457650273224044,0.0885116735694138
2,RandForest,2020-09-01,2020,1464,0.5628415300546448,0.1303361115648384
4,LogReg,2020-09-01,2020,1464,0.5389344262295082,0.1387158550769902
4,GBoost,2020-09-01,2020,1464,0.5717213114754098,0.13678189310577551
4,RandForest,2020-09-01,2020,1464,0.6038251366120219,0.2129326587863744
8,LogReg,2020-09-01,2020,1464,0.5314207650273224,0.10520952909776145
8,GBoost,2020-09-01,2020,1464,0.5642076502732241,0.13955022181054805
8,RandForest,2020-09-01,2020,1464,0.5799180327868853,0.16770035981393086
16,LogReg,2020-09-01,2020,1464,0.5478142076502732,0.11373824069733547
16,GBoost,2020-09-01,2020,1464,0.5771857923497268,0.15458908369811727
16,RandForest,2020-09-01,2020,1464,0.5635245901639344,0.1579288986681096
24,LogReg,2020-09-01,2020,1464,0.5327868852459017,0.07265267531026215
24,GBoost,2020-09-01,2020,1464,0.5601092896174863,0.12437535182723411
24,RandForest,2020-09-01,2020,1464,0.5976775956284153,0.14270853988495516
48,LogReg,2020-09-01,2020,1464,0.47540983606557374,-0.033832478862833
48,GBoost,2020-09-01,2020,1464,0.46174863387978143,-0.11474932653351261
48,RandForest,2020-09-01,2020,1464,0.5512295081967213,-0.05868494641033714
72,LogReg,2020-09-01,2020,1464,0.45560109289617484,-0.05821031027731922
72,GBoost,2020-09-01,2020,1464,0.5341530054644809,-0.004134682714645499
72,RandForest,2020-09-01,2020,1464,0.45560109289617484,-0.0854976562124961
1,LogReg,2020-11-01,2020,1464,0.546448087431694,0.06360911221765785
1,GBoost,2020-11-01,2020,1464,0.5423497267759563,0.06302600817976088
1,RandForest,2020-11-01,2020,1464,0.5450819672131147,0.09116297478095108
2,LogReg,2020-11-01,2020,1464,0.5546448087431693,0.0564447853606831
2,GBoost,2020-11-01,2020,1464,0.546448087431694,0.043428545153677646
2,RandForest,2020-11-01,2020,1464,0.555327868852459,0.0805746904457433
4,LogReg,2020-11-01,2020,1464,0.546448087431694,0.04471572187782115
4,GBoost,2020-11-01,2020,1464,0.5396174863387978,0.03600651617820029
4,RandForest,2020-11-01,2020,1464,0.5396174863387978,0.05089239513312715
8,LogReg,2020-11-01,2020,1464,0.5471311475409836,0.010296693209437342
8,GBoost,2020-11-01,2020,1464,0.5560109289617486,0.051901553286218025
8,RandForest,2020-11-01,2020,1464,0.5689890710382514,0.055143354171320685
16,LogReg,2020-11-01,2020,1464,0.5573770491803278,0.016156598156001924
16,GBoost,2020-11-01,2020,1464,0.5512295081967213,0.026490300026873075
16,RandForest,2020-11-01,2020,1464,0.5539617486338798,-0.04522423496742903
24,LogReg,2020-11-01,2020,1464,0.5771857923497268,-0.008618271456184982
24,GBoost,2020-11-01,2020,1464,0.5703551912568307,-0.014346565127733257
24,RandForest,2020-11-01,2020,1464,0.546448087431694,-0.038146497110577965
48,LogReg,2020-11-01,2020,1464,0.6277322404371585,0.0005743470693758434
48,GBoost,2020-11-01,2020,1464,0.605191256830601,0.06912311228068925
48,RandForest,2020-11-01,2020,1464,0.6420765027322405,0.056402758563182415
72,LogReg,2020-11-01,2020,1464,0.6810109289617486,-0.1047010181100328
72,GBoost,2020-11-01,2020,1464,0.6065573770491803,-0.01946580945152472
72,RandForest,2020-11-01,2020,1464,0.7199453551912568,0.015031461236357837
1,LogReg,2021-01-01,2021,1416,0.5141242937853108,0.06306340110972786
1,GBoost,2021-01-01,2021,1416,0.5190677966101694,0.04278959032318177
1,RandForest,2021-01-01,2021,1416,0.518361581920904,0.039193511699974315
2,LogReg,2021-01-01,2021,1416,0.5247175141242938,0.07258916078605687
2,GBoost,2021-01-01,2021,1416,0.5120056497175142,0.013973990827914874
2,RandForest,2021-01-01,2021,1416,0.528954802259887,0.06407430610816658
4,LogReg,2021-01-01,2021,1416,0.5388418079096046,0.11894597270469853
4,GBoost,2021-01-01,2021,1416,0.5416666666666666,0.06046464436379798
4,RandForest,2021-01-01,2021,1416,0.5480225988700564,0.09984369368949393
8,LogReg,2021-01-01,2021,1416,0.5346045197740112,0.10300740053625602
8,GBoost,2021-01-01,2021,1416,0.5240112994350282,0.07378125095452627
8,RandForest,2021-01-01,2021,1416,0.559322033898305,0.07099432659260711
16,LogReg,2021-01-01,2021,1416,0.5494350282485876,0.15308063039237457
16,GBoost,2021-01-01,2021,1416,0.5543785310734464,0.06602070600630357
16,RandForest,2021-01-01,2021,1416,0.5706214689265536,0.09576278668788393
24,LogReg,2021-01-01,2021,1416,0.5769774011299436,0.1535097386893702
24,GBoost,2021-01-01,2021,1416,0.5572033898305084,0.12608390838410363
24,RandForest,2021-01-01,2021,1416,0.5861581920903954,0.12561392225751086
48,LogReg,2021-01-01,2021,1416,0.6101694915254238,0.09109272753485916
