ltf,combo,entry,pivot,stop,n,ret,mdd,wr,pp,pr,h_n,h_ret,h_mdd,h_pp
15m,Donchian20|pivot5|atr1.5,Donchian20,5,atr1.5,6265,-315.44843671447273,-245.7859964704832,0.2060654429369513,0.0,1.0,1432,-217.0564956323201,-234.94826553526767,0.0
15m,Donchian20|pivot5|atr3,Donchian20,5,atr3,6976,106.1269988932275,-99.2738101499597,0.31422018348623854,0.59,0.30566666666666664,1644,-28.35856220609062,-192.09952249012528,0.0
15m,Donchian20|pivot5|swing,Donchian20,5,swing,7002,280.10834620306,-77.37278494103455,0.37275064267352187,0.8903333333333333,0.02266666666666667,1659,39.45184630103531,-160.94738120002333,0.0
15m,Donchian50|pivot5|atr1.5,Donchian50,5,atr1.5,3666,106.67393983883677,-98.10831383824208,0.2392253136933988,0.6253333333333333,0.26866666666666666,882,-124.51377361541354,-163.4309114623771,0.0
15m,Donchian50|pivot5|atr3,Donchian50,5,atr3,3939,262.22481680756755,-42.67966271491266,0.3533891850723534,0.976,0.001,960,-106.25255676780043,-144.1130751717465,0.0
15m,Donchian50|pivot5|swing,Donchian50,5,swing,3964,240.10056712472635,-49.727300285439924,0.436175580221998,0.9773333333333334,0.0006666666666666666,970,-45.48113348405616,-93.59647949926958,0.32966666666666666
15m,Squeeze|pivot5|atr1.5,Squeeze,5,atr1.5,1882,-260.91521887522424,-245.79405594550306,0.16099893730074388,0.0,1.0,398,-58.80860499100682,-76.48902106177961,0.22066666666666668
15m,Squeeze|pivot5|atr3,Squeeze,5,atr3,2313,-150.33151982931145,-183.12786280064535,0.23994811932555124,0.0,1.0,536,-51.38838506772554,-120.28618418731742,0.0
15m,Squeeze|pivot5|swing,Squeeze,5,swing,2189,-110.9804366856072,-131.41761455391264,0.26496116948378257,0.0,1.0,505,-40.35336956173596,-75.64078551376822,0.30033333333333334
15m,Pullback|pivot5|atr1.5,Pullback,5,atr1.5,3773,-320.54944522474284,-243.45447230211792,0.2531142327060694,0.0,1.0,756,-108.92838787441374,-139.25953812511887,0.0
15m,Pullback|pivot5|atr3,Pullback,5,atr3,3940,184.82530273283456,-47.003950767901706,0.38883248730964465,0.9753333333333334,0.0013333333333333333,788,-5.8177699885087915,-97.13708869363687,0.475
15m,Pullback|pivot5|swing,Pullback,5,swing,3688,40.78425312809393,-89.13686079096271,0.30883947939262474,0.5833333333333334,0.24233333333333335,740,-5.422120878008563,-113.58984034766411,0.0
15m,Donchian20|pivot10|atr1.5,Donchian20,10,atr1.5,5244,-484.6164126832269,-412.16708482354034,0.17734553775743708,0.0,1.0,1204,-229.42338841957707,-226.1566103660915,0.0
15m,Donchian20|pivot10|atr3,Donchian20,10,atr3,6634,-329.07436103843844,-248.33713276029727,0.25761230027132953,0.0,1.0,1556,-99.55780799287592,-169.76517182910814,0.0
15m,Donchian20|pivot10|swing,Donchian20,10,swing,6735,-187.7931722600763,-179.53728737377068,0.310022271714922,0.0,1.0,1594,-28.79886018280906,-121.53108939616908,0.0
15m,Donchian50|pivot10|atr1.5,Donchian50,10,atr1.5,3160,-76.02839981247757,-115.99886393346648,0.19651898734177214,0.0,1.0,767,-102.4392325534642,-132.7339566619688,0.0
15m,Donchian50|pivot10|atr3,Donchian50,10,atr3,3766,67.95611945067614,-67.16246459983657,0.2859798194370685,0.7083333333333334,0.09333333333333334,923,-58.740484244469386,-123.11736108848179,0.0
15m,Donchian50|pivot10|swing,Donchian50,10,swing,3845,56.346258674123064,-68.81913800396232,0.3602080624187256,0.678,0.09933333333333333,943,8.905685267392638,-79.91451486228544,0.534
15m,Squeeze|pivot10|atr1.5,Squeeze,10,atr1.5,1416,-236.5040465573828,-192.16951845930248,0.1475988700564972,0.0,1.0,285,-67.98938778359772,-90.08592856286668,0.179
15m,Squeeze|pivot10|atr3,Squeeze,10,atr3,2103,-306.11594266725785,-311.58170657311143,0.19971469329529243,0.0,1.0,455,-27.516805473246976,-111.33311956159677,0.0
15m,Squeeze|pivot10|swing,Squeeze,10,swing,1999,-298.63375871328867,-281.54789164765793,0.21960980490245122,0.0,1.0,441,-43.067919371726205,-90.72024632346974,0.30133333333333334
15m,Pullback|pivot10|atr1.5,Pullback,10,atr1.5,2940,-370.4812254084386,-283.4329277558541,0.22551020408163266,0.0,1.0,679,-152.135689521934,-182.98952942921764,0.0
15m,Pullback|pivot10|atr3,Pullback,10,atr3,3267,-117.47245519903677,-114.25931802786909,0.3394551576369758,0.0,1.0,748,-99.76014461772482,-120.89769939400938,0.0
15m,Pullback|pivot10|swing,Pullback,10,swing,2963,-156.01245699435555,-133.88417407724674,0.28585892676341546,0.0,1.0,672,-92.85884781102604,-110.89485844798988,0.0
