entry_ts,exit_ts,direction,entry,sl,tp,exit_price,pnl_usd,reason,rr
2024-02-28 21:30:00+00:00,2024-02-28 21:45:00+00:00,short,48300.54,48528.72,47616.02,48528.72,-100.0,SL,-1.0
2024-02-28 21:30:00+00:00,2024-02-28 21:45:00+00:00,short,48262.04,48580.67,47306.14,48580.67,-100.0,SL,-1.0
2024-02-29 01:15:00+00:00,2024-02-29 01:30:00+00:00,short,48182.45,48565.81,47032.34,48565.81,-98.0,SL,-1.0
2024-02-29 01:30:00+00:00,2024-02-29 05:30:00+00:00,short,48565.81,48902.02,47557.2,47557.2,294.0,TP,3.0
2024-02-29 20:00:00+00:00,2024-02-29 20:15:00+00:00,short,49869.36,50263.56,48686.76,50263.56,-99.96,SL,-1.0
2024-03-01 09:00:00+00:00,2024-03-01 09:00:00+00:00,short,50032.46,50204.57,49516.13,50204.57,-98.9604,SL,-1.0
2024-03-01 10:00:00+00:00,2024-03-01 11:15:00+00:00,short,50213.55,50415.37,49608.1,49608.1,293.9124,TP,3.0
2024-03-01 11:30:00+00:00,2024-03-01 13:30:00+00:00,short,49823.46,50270.65,48481.91,50270.65,-100.9099,SL,-1.0
2024-03-01 15:00:00+00:00,2024-03-01 15:45:00+00:00,short,50261.24,50488.55,49579.28,50488.55,-99.9008,SL,-1.0
2024-02-29 18:30:00+00:00,2024-03-01 18:15:00+00:00,short,49995.03,50735.43,47773.84,50735.43,-99.96,SL,-1.0
2024-03-01 16:30:00+00:00,2024-03-01 18:15:00+00:00,short,49840.31,50499.46,47862.85,50499.46,-98.9018,SL,-1.0
2024-03-01 20:15:00+00:00,2024-03-01 20:45:00+00:00,short,50614.33,50881.81,49811.9,50881.81,-96.9132,SL,-1.0
2024-03-02 00:15:00+00:00,2024-03-02 01:15:00+00:00,short,50902.51,51236.9,49899.32,51236.9,-95.9441,SL,-1.0
2024-03-19 09:15:00+00:00,2024-03-19 11:00:00+00:00,long,65747.39,64925.24,68213.86,64925.24,-94.9846,SL,-1.0
2024-03-19 12:45:00+00:00,2024-03-19 13:00:00+00:00,long,65379.75,65084.64,66265.05,65084.64,-94.0348,SL,-1.0
2024-03-19 11:45:00+00:00,2024-03-19 13:30:00+00:00,long,65747.93,64739.57,68773.01,64739.57,-94.0348,SL,-1.0
2024-03-19 08:30:00+00:00,2024-03-19 13:45:00+00:00,long,65471.72,64524.75,68312.62,64524.75,-94.9846,SL,-1.0
2024-03-19 20:45:00+00:00,2024-03-19 21:30:00+00:00,short,65932.63,66218.59,65074.75,65074.75,273.6127,TP,3.0
2024-03-20 10:30:00+00:00,2024-03-20 10:30:00+00:00,short,65322.22,65637.64,64375.95,65637.64,-93.9404,SL,-1.0
2024-03-20 11:45:00+00:00,2024-03-20 14:30:00+00:00,short,65117.04,65828.53,62982.59,65828.53,-93.001,SL,-1.0
2024-03-30 23:15:00+00:00,2024-03-31 00:45:00+00:00,long,74996.72,74612.94,76148.07,76148.07,276.2128,TP,3.0
2024-03-30 23:15:00+00:00,2024-03-31 00:45:00+00:00,long,75107.4,74715.28,76283.77,76283.77,276.2128,TP,3.0
2024-03-30 22:15:00+00:00,2024-03-31 23:45:00+00:00,long,74726.29,73762.56,77617.48,77617.48,276.2128,TP,3.0
2024-04-09 00:30:00+00:00,2024-04-09 01:15:00+00:00,long,78768.42,77843.87,81542.09,77843.87,-100.3573,SL,-1.0
2024-04-09 00:45:00+00:00,2024-04-09 01:15:00+00:00,long,78442.24,77712.51,80631.44,77712.51,-100.3573,SL,-1.0
2024-04-16 06:45:00+00:00,2024-04-16 07:15:00+00:00,long,68397.76,67952.48,69733.59,67952.48,-98.3502,SL,-1.0
2024-04-16 08:30:00+00:00,2024-04-16 08:45:00+00:00,long,68160.2,67716.52,69491.25,67716.52,-97.3667,SL,-1.0
2024-04-16 05:45:00+00:00,2024-04-16 09:15:00+00:00,long,67879.5,67353.78,69456.66,67353.78,-98.3502,SL,-1.0
2024-04-16 12:00:00+00:00,2024-04-16 13:00:00+00:00,long,68796.32,68143.6,70754.46,68143.6,-95.4095,SL,-1.0
2024-04-16 10:00:00+00:00,2024-04-16 16:30:00+00:00,long,68099.92,67330.8,70407.28,70407.28,286.2285,TP,3.0
2024-04-17 17:15:00+00:00,2024-04-17 20:45:00+00:00,long,68493.65,67891.22,70300.94,67891.22,-97.3177,SL,-1.0
2024-04-17 18:30:00+00:00,2024-04-17 20:45:00+00:00,long,68727.71,68043.49,70780.38,68043.49,-97.3177,SL,-1.0
2024-04-18 04:15:00+00:00,2024-04-18 05:00:00+00:00,long,66530.16,65988.38,68155.5,65988.38,-95.3714,SL,-1.0
2024-05-15 13:00:00+00:00,2024-05-15 13:30:00+00:00,short,68681.68,69239.32,67008.75,69239.32,-94.4176,SL,-1.0
2024-05-15 15:30:00+00:00,2024-05-15 15:30:00+00:00,short,69033.9,69290.71,68263.46,69290.71,-93.4735,SL,-1.0
2024-05-15 17:30:00+00:00,2024-05-15 19:00:00+00:00,short,68864.48,69334.56,67454.23,69334.56,-92.5387,SL,-1.0
2024-05-15 17:45:00+00:00,2024-05-15 19:15:00+00:00,short,69163.98,69655.58,67689.19,69655.58,-92.5387,SL,-1.0
2024-05-17 04:15:00+00:00,2024-05-17 04:15:00+00:00,short,72446.42,72751.87,71530.08,72751.87,-90.688,SL,-1.0
2024-05-17 06:30:00+00:00,2024-05-17 06:30:00+00:00,short,72718.56,73240.95,71151.39,73240.95,-89.7811,SL,-1.0
